Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
12-09-20,71-80,5,375,11/27/2020 02:15:01 PM
13-09-20,71-80,1,376,11/27/2020 02:15:01 PM
14-09-20,71-80,1,377,11/27/2020 02:15:01 PM
15-09-20,71-80,4,381,11/27/2020 02:15:01 PM
16-09-20,71-80,3,384,11/27/2020 02:15:01 PM
17-09-20,71-80,1,385,11/27/2020 02:15:01 PM
18-09-20,71-80,1,386,11/27/2020 02:15:01 PM
19-09-20,71-80,1,387,11/27/2020 02:15:01 PM
20-09-20,71-80,0,387,11/27/2020 02:15:01 PM
21-09-20,71-80,1,388,11/27/2020 02:15:01 PM
22-09-20,71-80,1,389,11/27/2020 02:15:01 PM
23-09-20,71-80,3,392,11/27/2020 02:15:01 PM
24-09-20,71-80,2,394,11/27/2020 02:15:01 PM
25-09-20,71-80,2,396,11/27/2020 02:15:01 PM
26-09-20,71-80,2,398,11/27/2020 02:15:01 PM
27-09-20,71-80,1,399,11/27/2020 02:15:01 PM
